product_name,SKU,Product Barcode/ASIN/EAN,price,quantity
PRIMA FOAM WHITE DISPOSABLE PLATES 23CM 15 PACK,12104C,5038673121048,0.68,40
PRIMA FOAM WHITE DISPOSABLE PLATES 25CM 12 PACK,12105C,5038673121055,0.66,40
PRIMA FOAM WHITE DISPOSABLE PLATES 25CM 100 PACK,12106C,5038673121062,8.19,6
PRIMA NON-SLIP KITCHEN KNIVES SET 3PC,13013C,5038673130132,2.98,6
PRIMA STAINLESS STEEL KNIFE SHARPENER 8'',13097C,5038673130972,1.03,12
PRIMA COMFORTABLE PLASTIC CAN OPENER,13135C,5038673131351,1.64,12
PRIMA STAINLESS STEEL OVAL HAND GRATER 8.8CM X 5.7CM,13149C,503867313498,0.89,12
PRIMA STAINLESS STEEL Y-SHAPE SWIVEL PEELER,13151C,5038673131511,0.82,12
PRIMA STAINLESS STEEL KITCHEN BALLER 3CM,13154C,5038673131542,0.82,12
PRIMA STAINLESS STEEL STRAINER 9CM,13170C,5038673131702,1.17,12
PRIMA BAKELITE HANDLE NON-STICK WOK 30CM,15050C,5038673150505,4.61,4
PRIMA NON STICK DEEP ROASTING PAN 37CM X 28CM,15051C,5038673150512,4.6,3
PRIMA BAKELITE HANDLE NON-STICK WOK 24CM,15067C,5038673150673,4.08,6
PRIMA NON-STICK ROUND CAKE TIN 23CM X 3.5CM,15107C,5038673151076,1.23,24
PRIMA ROSEWOOD HANDLE NON-STICK GRILL PAN 34CM X 22CM,15124C,5038673151243,5.64,4
PRIMA NON-STICK DEEP BLACK FRYING PAN 20CM,15336C,5038673153360,4.6,6
PRIMA NON-STICK DEEP BLACK FRYING PAN 24CM,15337C,5038673153377,5.65,6
PRIMA NON-STICK DEEP BLACK FRYING PAN 28CM,15338C,5038673153384,7.07,6
PRIMA ALUMINIUM NON-STICK SAUCEPAN 18CM,15340C,5038673153407,9.21,3
PRIMA ALUMINIUM NON-STICK SAUCEPAN 20CM,15341C,5038673153414,11.32,3
PRIMA ALUMINIUM SAUCEPOT WITH LID 20CM,15342C,5038673153421,12.04,2
PRIMA ALUMINIUM NON-STICK MILK PAN 16CM,15345C,5038673153452,5.65,6
PRIMA NON-STICK ALUMINIUM SAUCEPOT WITH LID 24CM,15343C,5038673153438,15.58,2
PRIMA NON-STICK ALUMINIUM SQUARE FRYING PAN 24CM,15346C,5038673153469,6.72,5
PRIMA STAINLESS STEEL GERMAN MIXING BOWL 18CM,17022C,5038673170220,1.23,12
PRIMA STAINLESS STEEL GERMAN MIXING BOWL 22CM,17023C,5038673170237,1.67,12
PRIMA STAINLESS STEEL OVAL ROASTER SET WITH RACK 32CM,17095C,5038673170954,11.29,2
PRIMA STAINLESS STEEL OVAL SALAD TONG 19CM,17190C,5038673171906,0.66,10
PRIMA STAINLESS STEEL SERVING LADLE,17263C,5038673172637,0.66,12
PRIMA STAINLESS STEEL SLOTTED SERVING SPOON,17265C,5038673184151,0.62,12
PRIMA STAINLESS STEEL SLOTTED SERVING TURNER,17266C,5038673172668,0.66,12
PRIMA KING SERVING SPOON 33CM,17269C,5038673172699,0.89,12
